Title,Category,Status,LastChecked,CheckedBy,Notes,SortOrder
النسخ الاحتياطي للبيانات يعمل بانتظام,data,ready,2025-01-10,مسؤول DR,يتم النسخ يومياً,1
اختبار استعادة البيانات ناجح,data,ready,2025-01-10,مسؤول DR,تم اختبار الاستعادة بنجاح,2
البيانات الحساسة مشفرة,data,ready,2025-01-10,مسؤول أمن المعلومات,,3
نظام نور متاح من مركز DR,systems,ready,2025-01-10,مسؤول DR,النظام يعمل بشكل طبيعي,4
نظام فارس متاح من مركز DR,systems,ready,2025-01-10,مسؤول DR,,5
منصة مدرستي متاحة من البديل,systems,partial,2025-01-10,مسؤول DR,بحاجة لاختبار إضافي,6
البريد الإلكتروني متاح من DR,systems,ready,2025-01-10,مسؤول DR,,7
خطوط الاتصال البديلة جاهزة,communications,partial,2025-01-10,مسؤول الاتصالات,بعض الخطوط بحاجة لتحديث,8
وسائل التواصل البديلة محددة,communications,ready,2025-01-10,مسؤول الاتصالات,واتساب + SMS,9
قائمة الاتصال محدثة,communications,ready,2025-01-10,مسؤول الاتصالات,تم التحديث هذا الشهر,10
الموقع البديل جاهز للعمل,alternative_sites,ready,2025-01-10,مسؤول المواقع,تم التحقق من جاهزية الموقع,11
البنية التحتية في الموقع البديل,alternative_sites,partial,2025-01-10,مسؤول المواقع,بعض المعدات تحتاج صيانة,12
الفريق مدرب على إجراءات DR,teams,partial,2025-01-10,مسؤول التدريب,تدريب إضافي مطلوب لبعض الأعضاء,13
خطة DR موثقة ومحدثة,teams,ready,2025-01-10,مسؤول DR,الخطة محدثة النسخة 3.0,14
تمرين DR منفذ خلال 6 أشهر,teams,not_ready,2025-01-10,مسؤول DR,لم يتم تنفيذ تمرين منذ 8 أشهر,15
