Title,Category,ItemDescription,Status,Priority,LastChecked,CheckedBy,Notes
النسخ الاحتياطي للبيانات,البيانات,التأكد من وجود نسخ احتياطية يومية لجميع البيانات الحساسة,not_ready,High,,,
خطة استعادة البيانات,البيانات,وجود خطة موثقة لاستعادة البيانات في حالة الفقدان,not_ready,High,,,
تشفير البيانات الحساسة,البيانات,التأكد من تشفير البيانات الحساسة في التخزين والنقل,not_ready,Medium,,,
نظام إدارة التعلم البديل,الأنظمة,جاهزية منصة بديلة في حالة تعطل مدرستي,not_ready,High,,,
نظام البريد الإلكتروني البديل,الأنظمة,وجود بديل للتواصل في حالة تعطل البريد الرسمي,not_ready,Medium,,,
نظام الحضور والانصراف,الأنظمة,خطة بديلة لتسجيل الحضور يدوياً,not_ready,Medium,,,
قنوات التواصل البديلة,الاتصالات,تحديد قنوات بديلة (واتساب - SMS - راديو),not_ready,High,,,
قائمة أرقام الطوارئ,الاتصالات,تحديث قائمة أرقام الطوارئ وتوزيعها,not_ready,High,,,
شجرة الاتصالات,الاتصالات,وجود شجرة اتصالات محدثة لجميع المنسوبين,not_ready,Medium,,,
تحديد المواقع البديلة,المواقع البديلة,تحديد مدارس بديلة لكل مدرسة,not_ready,High,,,
اتفاقيات الاستخدام,المواقع البديلة,توقيع اتفاقيات مع المدارس البديلة,not_ready,Medium,,,
خطة النقل للمواقع البديلة,المواقع البديلة,وجود خطة نقل للطلاب والموظفين,not_ready,Medium,,,
فريق إدارة الأزمات,الفرق,تشكيل فريق إدارة الأزمات وتحديد الأدوار,not_ready,High,,,
تدريب الفريق,الفرق,تدريب فريق إدارة الأزمات على الخطة,not_ready,High,,,
فريق الدعم النفسي,الفرق,تحديد فريق دعم نفسي للطلاب والموظفين,not_ready,Medium,,,
